crypto,timestamp,open,high,low,close,volume,signal_type
ETHUSDT,2026-03-21 23:45:00,2146.78,2146.78,2070.78,2084.87,92954913.12,SELL
SOLUSDT,2026-03-21 23:45:00,89.8,89.81,87.14,87.56,25475268.71,SELL
SOLUSDT,2026-03-22 11:45:00,87.25,87.29,86.84,86.85,1671289.97,SELL
BTCUSDT,2026-03-23 11:00:00,68551.02,71499.0,68544.15,70963.07,270467905.94,BUY
SOLUSDT,2026-03-23 11:00:00,86.06,91.93,86.05,90.75,63852478.31,BUY
